"Data generated on Thursday, April 23, 2026 at 10:36:14 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Quantities
,,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,
,Partner,,HS Code,Product,Year,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Reporter Code,Partner Code,Product Code,
"1","China","5","0403","Buttermilk","2007-2007","MT","28.3","7.6","0.0","1.7","25.4","4.6","2.8","21.6","6.5","0.0","20.7","0.0","119.1","US","CH","0403",
"1","China","5","0403","Buttermilk","2008-2008","MT","26.6","0.0","0.0","24.8","3.6","25.1","27.6","2.1","1.3","1.3","24.7","0.0","137.2","US","CH","0403",
"1","China","5","0403","Buttermilk","2009-2009","MT","27.3","0.5","28.4","0.0","5.3","1.0","1.7","27.8","2.4","3.6","1.4","25.8","125.1","US","CH","0403",
"1","China","5","0403","Buttermilk","2010-2010","MT","1.3","13.1","1.0","66.3","28.2","31.0","2.6","0.0","1.2","2.9","44.2","1.3","193.1","US","CH","0403",
"1","China","5","0403","Buttermilk","2011-2011","MT","0.3","32.4","1.6","3.1","30.9","1.9","17.3","4.7","5.9","0.9","4.0","0.0","103.1","US","CH","0403",
"1","China","5","0403","Buttermilk","2012-2012","MT","11.6","0.8","1.1","16.3","17.7","15.0","0.7","4.8","1.2","20.8","5.8","0.4","96.1","US","CH","0403",
"1","China","5","0403","Buttermilk","2013-2013","MT","0.4","0.0","0.0","8.2","0.9","0.0","34.7","10.1","0.0","20.8","19.1","26.2","120.3","US","CH","0403",
"1","China","5","0403","Buttermilk","2014-2014","MT","31.3","21.1","59.4","20.8","82.7","1.4","27.6","41.1","1.0","33.1","14.9","1.9","336.4","US","CH","0403",
"1","China","5","0403","Buttermilk","2015-2015","MT","7.3","26.8","94.9","27.2","14.0","26.3","1.6","38.6","152.5","26.8","85.2","67.7","568.9","US","CH","0403",
"1","China","5","0403","Buttermilk","2016-2016","MT","17.7","35.0","39.4","139.0","0.0","16.7","16.7","10.1","0.0","0.0","0.0","18.2","292.7","US","CH","0403",
"1","China","5","0403","Buttermilk","2017-2017","MT","11.7","2.2","18.6","25.9","0.0","8.4","22.5","39.6","49.5","5.4","9.4","29.9","223.2","US","CH","0403",
"1","China","5","0403","Buttermilk","2018-2018","MT","4.7","84.9","28.9","90.1","24.7","5.7","82.2","81.9","20.2","36.6","29.8","23.2","512.8","US","CH","0403",
"1","China","5","0403","Buttermilk","2019-2019","MT","0.8","10.5","0.0","21.5","1.0","20.3","11.8","14.1","22.4","9.2","2.5","3.1","117.3","US","CH","0403",
"1","China","5","0403","Buttermilk","2020-2020","MT","15.9","90.4","1.2","20.6","40.8","34.5","117.2","28.9","2.9","30.7","6.2","10.0","399.2","US","CH","0403",
"1","China","5","0403","Buttermilk","2021-2021","MT","90.0","17.4","39.7","32.0","4.9","16.6","6.7","0.3","10.3","34.8","0.0","35.7","288.4","US","CH","0403",
"1","China","5","0403","Buttermilk","2022-2022","MT","0.5","19.1","7.3","14.6","6.5","22.2","16.0","0.0","0.1","0.0","0.5","0.0","86.8","US","CH","0403",
"1","China","5","0403","Buttermilk","2023-2023","MT","0.0","0.0","21.8","2.7","5.7","19.8","0.7","14.0","16.5","41.2","61.8","0.0","184.1","US","CH","0403",
"1","China","5","0403","Buttermilk","2024-2024","MT","0.0","0.0","7.7","5.3","0.0","0.0","0.0","3.0","0.0","0.0","3.4","6.3","25.6","US","CH","0403",
"1","China","5","0403","Buttermilk","2025-2025","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.5","2.7","0.0","0.0","1.2","0.0","4.4","US","CH","0403",
"1","China","6","0405","Butter, Fats, Milk","2005-2005","MT","0.0","0.0","0.0","0.0","0.0","0.0","12.5","4.5","0.0","0.0","4.5","0.0","21.5","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2006-2006","MT","3.5","5.7","3.0","0.0","1.7","6.5","49.2","0.0","2.1","17.9","15.7","2.8","108.1","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2007-2007","MT","13.3","15.5","2.6","35.4","28.6","1.0","5.4","4.8","8.9","11.8","5.1","56.5","189.0","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2008-2008","MT","60.2","23.9","57.5","39.0","29.9","1.8","23.9","0.0","5.4","19.6","9.7","7.6","278.5","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2009-2009","MT","24.5","23.8","3.5","27.7","29.2","18.9","20.0","11.4","16.6","50.2","6.4","34.7","266.9","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2010-2010","MT","3.7","35.2","30.1","22.8","81.5","19.3","43.3","6.0","35.5","13.6","36.0","53.7","380.8","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2011-2011","MT","8.0","43.7","6.3","89.2","93.9","107.9","8.4","31.2","70.5","5.4","0.0","38.9","503.4","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2012-2012","MT","0.0","38.1","19.0","0.0","37.4","28.8","19.4","48.3","14.0","25.7","0.0","9.8","240.3","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2013-2013","MT","0.0","19.4","20.1","20.1","11.7","19.4","21.1","30.0","19.2","387.5","357.2","40.0","945.7","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2014-2014","MT","397.7","223.9","158.1","157.3","0.0","766.1","835.2","128.8","0.0","21.1","0.0","0.9","2,689.1","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2015-2015","MT","0.0","0.0","8.8","1.1","0.0","48.7","0.0","0.0","0.0","52.5","0.0","0.0","111.1","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2016-2016","MT","7.2","3.7","0.0","6.6","16.6","78.7","252.0","0.0","22.9","0.0","0.0","0.0","387.7","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2017-2017","MT","0.0","4.0","0.0","0.0","85.6","10.1","0.0","0.0","3.1","4.5","284.9","3.3","395.6","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2018-2018","MT","1.6","1.5","0.7","0.0","1.5","3.3","1.7","2.4","20.4","13.7","0.5","0.0","47.2","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2019-2019","MT","11.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","242.8","0.0","0.0","0.0","254.1","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2020-2020","MT","0.0","0.0","0.0","0.0","112.8","56.7","390.0","0.0","0.0","0.0","0.0","0.3","559.8","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2021-2021","MT","0.0","0.5","17.6","267.8","776.6","0.0","133.3","1,048.1","1,275.6","96.0","300.0","0.0","3,915.4","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2022-2022","MT","39.7","60.8","11.4","0.0","29.6","35.0","5.3","110.2","37.6","19.1","37.6","0.0","386.3","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2023-2023","MT","36.3","36.3","257.2","1.5","0.0","17.7","1.9","0.0","8.7","17.3","0.0","17.3","394.2","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2024-2024","MT","0.0","18.0","0.0","8.7","9.2","8.7","8.5","48.5","32.6","22.1","92.0","23.3","271.5","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2025-2025","MT","33.1","11.6","16.2","11.6","8.7","19.4","18.0","10.6","26.7","18.7","8.7","8.7","191.9","US","CH","0405",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"3. Product Group : Harmonized"
