date,source_region,cmd_code,cmd_desc,import_value_usd,net_weight_kg
5/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,738330,453033
5/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2675683,930309
5/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",89313,30128
5/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",10564374,5307759
5/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,752548,138893
5/1/10,EU-27,0406,Cheese and curd,1235705,158713
5/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1053998,487721
5/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,96144370,28808734
5/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",9838,2890
5/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2262093,485315
5/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,4576535,1150221
5/1/10,New Zealand,0406,Cheese and curd,4287206,938260
6/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,605186,321083
6/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,5565820,1709616
6/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",160761,52223
6/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",13103560,7309085
6/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,287800,52770
6/1/10,EU-27,0406,Cheese and curd,953493,129662
