date,source_region,cmd_code,cmd_desc,import_value_usd,net_weight_kg,quantity
2010-04-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2593751,811160,0
2010-04-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",384369,110733,0
2010-04-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",8574965,4761569,0
2010-04-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,288192,66023,0
2010-04-01,EU-27,0406,Cheese and curd,1207018,159349,0
2010-04-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1032284,449010,0
2010-04-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,100843323,30595652,0
2010-04-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",7597,2222,0
2010-04-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2154954,406085,0
2010-04-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5806687,1413668,0
2010-04-01,New Zealand,0406,Cheese and curd,4533253,994527,0
2010-05-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,738330,453033,0
2010-05-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2675683,930309,0
2010-05-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",89313,30128,0
2010-05-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",10564374,5307759,0
2010-05-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,752548,138893,0
2010-05-01,EU-27,0406,Cheese and curd,1235705,158713,0
2010-05-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1053998,487721,0
2010-05-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,96144370,28808734,0
2010-05-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",9838,2890,0
2010-05-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2262093,485315,0
2010-05-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,4576535,1150221,0
2010-05-01,New Zealand,0406,Cheese and curd,4287206,938260,0
2010-06-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,605186,321083,0
2010-06-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,5565820,1709616,0
2010-06-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",160761,52223,0
2010-06-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",13103560,7309085,0
2010-06-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,287800,52770,0
2010-06-01,EU-27,0406,Cheese and curd,953493,129662,0
2010-06-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1022856,550189,0
2010-06-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,130081613,38259718,0
2010-06-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",11011,3292,0
2010-06-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",1842949,425299,0
2010-06-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5564977,1343221,0
2010-06-01,New Zealand,0406,Cheese and curd,4273412,934529,0
2010-07-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,620360,364223,0
2010-07-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9368969,2732546,0
2010-07-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",136425,43997,0
2010-07-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16280731,9081930,0
2010-07-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,526952,111496,0
2010-07-01,EU-27,0406,Cheese and curd,1169047,171253,0
2010-07-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1223860,662012,0
2010-07-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,100869932,27970302,0
2010-07-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",19370,4547,0
2010-07-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",3089719,861385,0
2010-07-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5574520,1352722,0
2010-07-01,New Zealand,0406,Cheese and curd,2804505,592349,0
2010-08-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,631840,391958,0
2010-08-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,11831031,3343008,0
2010-08-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",80008,36244,0
2010-08-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16938431,9595984,0
2010-08-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1046078,203563,0
2010-08-01,EU-27,0406,Cheese and curd,1252340,153109,0
2010-08-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,967892,394758,0
2010-08-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,66993049,16722963,0
2010-08-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",6783,1978,0
2010-08-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2262104,366600,0
2010-08-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,2534776,546784,0
2010-08-01,New Zealand,0406,Cheese and curd,4302870,947560,0
2010-09-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,558165,383253,0
2010-09-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,12064418,3641513,0
2010-09-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",231976,78265,0
2010-09-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",21667041,13078443,0
2010-09-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,779886,155516,0
2010-09-01,EU-27,0406,Cheese and curd,1139727,158513,0
2010-09-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1779795,868916,0
2010-09-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,47616370,12286889,0
2010-09-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",14301,3376,0
2010-09-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",698051,124577,0
2010-09-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,4848866,1038112,0
2010-09-01,New Zealand,0406,Cheese and curd,5958271,1289734,0
2010-10-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,362168,202616,0
2010-10-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9019610,2607756,0
2010-10-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",55152,17826,0
2010-10-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16183429,9245516,0
2010-10-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,663083,115583,0
2010-10-01,EU-27,0406,Cheese and curd,1414796,199808,0
2010-10-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1432932,550868,0
2010-10-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,74021488,19260079,0
2010-10-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",69067,10528,0
2010-10-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",388672,0,0
2010-10-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5506774,1356812,0
2010-10-01,New Zealand,0406,Cheese and curd,3378647,812829,0
2010-11-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1106600,739006,0
2010-11-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,7282056,2286051,0
2010-11-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",183574,60877,0
2010-11-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16002973,9114806,0
2010-11-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,619462,96657,0
2010-11-01,EU-27,0406,Cheese and curd,1618657,194485,0
2010-11-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2019382,858850,0
2010-11-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,109681078,31121110,0
2010-11-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",19573,5195,0
2010-11-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",829000,300000,0
2010-11-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,8349472,1898616,0
2010-11-01,New Zealand,0406,Cheese and curd,5804724,1373189,0
2010-12-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1420678,1114944,0
2010-12-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,13300209,4300665,0
2010-12-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",102819,39161,0
2010-12-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",15906619,8978220,0
2010-12-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,969745,151971,0
2010-12-01,EU-27,0406,Cheese and curd,2213671,286992,0
2010-12-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1875498,905868,0
2010-12-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,121414153,36208019,0
2010-12-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",12805,3408,0
2010-12-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2164057,683675,0
2010-12-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,7718312,1817007,0
2010-12-01,New Zealand,0406,Cheese and curd,3844191,920296,0
2011-01-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1378846,878602,0
2011-01-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,6449068,2086104,0
2011-01-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",230052,84594,0
2011-01-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",23537655,12768476,0
2011-01-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1489437,246382,0
2011-01-01,EU-27,0406,Cheese and curd,1668524,220505,0
2011-01-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2437425,1149276,0
2011-01-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,165622872,47684668,0
2011-01-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",623959,197427,0
2011-01-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",1102728,372400,0
2011-01-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,14952470,3307462,0
2011-01-01,New Zealand,0406,Cheese and curd,4468903,1043583,0
2011-02-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,673474,440897,0
2011-02-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,4527723,1498045,0
2011-02-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",133625,61301,0
2011-02-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",14788173,8546458,0
2011-02-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,761165,128756,0
2011-02-01,EU-27,0406,Cheese and curd,909821,116169,0
2011-02-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2027964,933191,0
2011-02-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,143821500,40787524,0
2011-02-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",81418,26841,0
2011-02-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2875816,554210,0
2011-02-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,9717597,2018263,0
2011-02-01,New Zealand,0406,Cheese and curd,3498986,832843,0
2011-03-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2126881,1622429,0
2011-03-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9978301,3118766,0
2011-03-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",291672,97268,0
2011-03-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16846099,8659490,0
2011-03-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1113971,165627,0
2011-03-01,EU-27,0406,Cheese and curd,2116027,293027,0
2011-03-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2871217,1129505,0
2011-03-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,180171380,51114990,0
2011-03-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",262721,65312,0
2011-03-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",4256904,601511,0
2011-03-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,14910917,3012994,0
2011-03-01,New Zealand,0406,Cheese and curd,5163094,1187332,0
2011-04-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1867826,1313055,0
2011-04-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,5548170,1717781,0
2011-04-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",387309,112504,0
2011-04-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",17773897,9351420,0
2011-04-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,789591,124294,0
2011-04-01,EU-27,0406,Cheese and curd,1964605,251746,0
2011-04-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2215836,950716,0
2011-04-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,215104277,59480821,0
2011-04-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",423172,130433,0
2011-04-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",5757020,869595,0
2011-04-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,14864354,2889958,0
2011-04-01,New Zealand,0406,Cheese and curd,4943734,1160007,0
2011-05-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1669047,1345023,0
2011-05-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,11296891,3263337,0
2011-05-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",414867,124055,0
2011-05-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16622788,8374975,0
2011-05-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1560006,231099,0
2011-05-01,EU-27,0406,Cheese and curd,1874183,207420,0
2011-05-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2416039,1153692,0
2011-05-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,122498467,32298195,0
2011-05-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",18985,5136,0
2011-05-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",5264090,752480,0
2011-05-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,19248461,3666507,0
2011-05-01,New Zealand,0406,Cheese and curd,4417589,975114,0
2011-06-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2213404,2159573,0
2011-06-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2878301,774613,0
2011-06-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",166895,42567,0
2011-06-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",17762243,8524700,0
2011-06-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,719030,100165,0
2011-06-01,EU-27,0406,Cheese and curd,909299,106622,0
2011-06-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2329212,1111382,0
2011-06-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,98104572,24247942,0
2011-06-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",162875,35311,0
2011-06-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",446204,50840,0
2011-06-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,12285699,2119231,0
2011-06-01,New Zealand,0406,Cheese and curd,7162339,1648756,0
2011-07-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2410872,2187139,0
2011-07-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9271575,2693095,0
2011-07-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",349361,120052,0
2011-07-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",22162300,9858045,0
2011-07-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,654169,90981,0
2011-07-01,EU-27,0406,Cheese and curd,1515485,161424,0
2011-07-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,3007424,1945384,0
2011-07-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,88758523,21975834,0
2011-07-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",189346,55386,0
2011-07-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",746925,144116,0
2011-07-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,10928745,1928875,0
2011-07-01,New Zealand,0406,Cheese and curd,3468774,779570,0
2011-08-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,900867,542011,0
2011-08-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9762583,2557927,0
2011-08-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",355512,128979,0
