date,source_region,import_value_usd,net_weight_kg
10/1/19,EU-27,125300949,77246654.28
10/1/19,New Zealand,174543610,60240678
11/1/19,EU-27,130277904,77246640
11/1/19,New Zealand,343130339,110703248
12/1/19,EU-27,127003027,73971052.18
12/1/19,New Zealand,300116092,103019704
1/1/20,EU-27,91442810,57249246
1/1/20,New Zealand,730659498,225979378
2/1/20,EU-27,92956177,58856012
2/1/20,New Zealand,411278453,129921602
3/1/20,EU-27,130543845,82692264
3/1/20,New Zealand,275774284,86516795
4/1/20,EU-27,116759919,72563867
4/1/20,New Zealand,330033576,103276512
5/1/20,EU-27,121287070,75153413.78
5/1/20,New Zealand,245021253,79385595
6/1/20,EU-27,153860121,91203991.87
6/1/20,New Zealand,248445103,77298071
7/1/20,EU-27,197268446,106271870.6
7/1/20,New Zealand,256388810,84492573
8/1/20,EU-27,177725575,103885578
8/1/20,New Zealand,187177467,66895118
9/1/20,EU-27,196236762,111457426
9/1/20,New Zealand,146154163,55878054
10/1/20,EU-27,173250501,105879372.95899999
10/1/20,New Zealand,190908634,68976880
11/1/20,EU-27,154843368,98050828
11/1/20,New Zealand,270862138,94655170
12/1/20,EU-27,170798526,96729593
12/1/20,New Zealand,268559321,106081014.6
1/1/21,EU-27,182308725,108233079.1
1/1/21,New Zealand,900246831,297928088
2/1/21,EU-27,137135351,81602529.26
2/1/21,New Zealand,291604481,100779664
3/1/21,EU-27,194067324,111089101.8
3/1/21,New Zealand,468204264,153280373
4/1/21,EU-27,178340949,100702036
4/1/21,New Zealand,370583576,114524124
5/1/21,EU-27,242848960,137648728.9
5/1/21,New Zealand,444203859,137844669
6/1/21,EU-27,203095859,107597030
6/1/21,New Zealand,394041497,109520794
7/1/21,EU-27,223409000,113902675
7/1/21,New Zealand,424360664,113222175
8/1/21,EU-27,245436142,128659707.6
8/1/21,New Zealand,405858463,110313340
9/1/21,EU-27,196256790,101493526
9/1/21,New Zealand,210071632,60556661
10/1/21,EU-27,186231203,93865097
10/1/21,New Zealand,207590424,63167327
11/1/21,EU-27,186445427,95524367
11/1/21,New Zealand,405768662,112467160.4
12/1/21,EU-27,176950452,97362755
12/1/21,New Zealand,285566881,83895100
1/1/22,EU-27,147076298,86419461
1/1/22,New Zealand,1179308160,310932574.9
2/1/22,EU-27,118115083,65340986
2/1/22,New Zealand,475488663,123002627
3/1/22,EU-27,167269675,79423413
3/1/22,New Zealand,433487351,107262219
4/1/22,EU-27,154749915,68435350
4/1/22,New Zealand,416883602,101127342
5/1/22,EU-27,170951300,78983981
5/1/22,New Zealand,400582494,98238872
6/1/22,EU-27,179755048,78119489
6/1/22,New Zealand,288062460,71586645
7/1/22,EU-27,169918145,71771992
7/1/22,New Zealand,352964112,80461139
8/1/22,EU-27,191691087,78687298
8/1/22,New Zealand,281270941,65861093
9/1/22,EU-27,174249945,77217164
9/1/22,New Zealand,274615936,68515300
10/1/22,EU-27,147495712,59861922.63
10/1/22,New Zealand,311668242,77909841
11/1/22,EU-27,171078201,78752799
11/1/22,New Zealand,314688456,83962320
12/1/22,EU-27,164729986,68557602.78
12/1/22,New Zealand,365169855,92047082
1/1/23,EU-27,146928013,59412378
1/1/23,New Zealand,438637638,114095185
2/1/23,EU-27,135110654,54836153
2/1/23,New Zealand,409612137,106246344
3/1/23,EU-27,153762030,60109296
3/1/23,New Zealand,425934253,107549581
4/1/23,EU-27,153154094,63943976
4/1/23,New Zealand,329011895,92792941
5/1/23,EU-27,181630926,74147739
5/1/23,New Zealand,362222546,101370179
6/1/23,EU-27,199642674,81671243.79699999
6/1/23,New Zealand,380884990,107179006
7/1/23,EU-27,177929912,75817436
7/1/23,New Zealand,345942863,97125979
8/1/23,EU-27,161984329,71469731
8/1/23,New Zealand,293475589,78171915
9/1/23,EU-27,143919214,63842373
9/1/23,New Zealand,246720025,67674808
10/1/23,EU-27,127153773,59780616
10/1/23,New Zealand,220169109,69770982
11/1/23,EU-27,122502147,60685506
11/1/23,New Zealand,250788635,73975605
12/1/23,EU-27,122561485,60367607
12/1/23,New Zealand,269614020,81789266
1/1/24,EU-27,102670319,42951747
1/1/24,New Zealand,411036447,125937153
2/1/24,EU-27,79735061,40292454
2/1/24,New Zealand,342411566,106698037
3/1/24,EU-27,126538359,49193049
3/1/24,New Zealand,325877491,94401018
4/1/24,EU-27,139015189,51354421
4/1/24,New Zealand,343044892,99785024
5/1/24,EU-27,125654070,47332000
5/1/24,New Zealand,323847179,91844810
6/1/24,EU-27,129041935,49842976
6/1/24,New Zealand,341085042,90624624
7/1/24,EU-27,151121529,59736945
7/1/24,New Zealand,325950840,89492641
8/1/24,EU-27,174135099,77634491
8/1/24,New Zealand,221004157,61406008
9/1/24,EU-27,147619311,60933819.75
9/1/24,New Zealand,214226210,57119458
10/1/24,EU-27,139896614,58056195.56
10/1/24,New Zealand,203503473,59377820
11/1/24,EU-27,136635818,57100490
11/1/24,New Zealand,339466089,90449650
12/1/24,EU-27,136528051,59070274.401999995
12/1/24,New Zealand,468654180,121176680
NA,NA,0,0
